day,day_of_week,weekend,half_month,holiday,hour,负荷
8,6,True,1,2,9,98.77458900000003
8,6,True,1,2,10,104.21923700000005
8,6,True,1,2,11,108.71265500000005
8,6,True,1,2,12,99.41701700000002
8,6,True,1,2,13,109.39238500000012
8,6,True,1,2,14,102.89472100000012
8,6,True,1,2,15,100.70154600000019
8,6,True,1,2,16,112.4708330000002
8,6,True,1,2,17,103.67111000000008
8,6,True,1,2,18,108.63617600000008
8,6,True,1,2,19,98.66799100000006
8,6,True,1,2,20,100.26194000000008
8,6,True,1,2,21,105.40164700000004
8,6,True,1,2,22,98.980079
8,6,True,1,2,23,98.08126900000009
9,0,False,1,2,0,2601.753005000003
9,0,False,1,2,1,79.59737500000004
9,0,False,1,2,2,91.25338800000013
9,0,False,1,2,3,82.26536300000002
9,0,False,1,2,4,90.94572000000008
9,0,False,1,2,5,84.13087900000004
9,0,False,1,2,6,99.22704200000017
9,0,False,1,2,7,112.23463800000003
9,0,False,1,2,8,113.09909600000015
9,0,False,1,2,9,116.76708800000007
9,0,False,1,2,10,103.63363400000004
9,0,False,1,2,11,109.22127500000005
9,0,False,1,2,12,115.64704800000015
9,0,False,1,2,13,114.25973400000007
9,0,False,1,2,14,119.64602300000013
9,0,False,1,2,15,110.05538300000002
9,0,False,1,2,16,114.07190600000008
9,0,False,1,2,17,122.95841100000011
9,0,False,1,2,18,117.6297770000001
9,0,False,1,2,19,110.7563880000001
9,0,False,1,2,20,113.3244770000001
9,0,False,1,2,21,107.97651200000011
9,0,False,1,2,22,112.0137350000001
9,0,False,1,2,23,96.35419700000003
9,2,False,1,2,0,2577.662461999999
9,2,False,1,2,1,84.25882600000003
9,2,False,1,2,2,96.02593200000004
9,2,False,1,2,3,89.05689100000009
9,2,False,1,2,4,89.812484
9,2,False,1,2,5,91.41066699999999
9,2,False,1,2,6,105.13363300000002
9,2,False,1,2,7,107.21181500000012
9,2,False,1,2,8,107.30501800000008
9,2,False,1,2,9,112.93539000000013
9,2,False,1,2,10,108.99912700000013
9,2,False,1,2,11,105.18360500000004
9,2,False,1,2,12,112.35780400000013
9,2,False,1,2,13,100.12265100000003
9,2,False,1,2,14,108.52600200000006
9,2,False,1,2,15,114.60322000000006
9,2,False,1,2,16,104.84991000000011
9,2,False,1,2,17,116.27663900000007
9,2,False,1,2,18,111.96627800000016
9,2,False,1,2,19,108.01442700000001
9,2,False,1,2,20,105.36791000000008
9,2,False,1,2,21,111.13717300000005
9,2,False,1,2,22,102.22506300000009
9,2,False,1,2,23,95.57832700000004
9,4,False,1,2,0,2556.8670020000077
9,4,False,1,2,1,88.52641000000006
9,4,False,1,2,2,89.88983300000001
9,4,False,1,2,3,86.21517999999993
9,4,False,1,2,4,94.52311399999998
9,4,False,1,2,5,86.25479200000002
9,4,False,1,2,6,95.400453
9,4,False,1,2,7,114.14784200000007
9,4,False,1,2,8,110.27210600000012
9,4,False,1,2,9,112.05485600000004
9,4,False,1,2,10,116.82360400000012
9,4,False,1,2,11,98.87305800000014
9,4,False,1,2,12,111.90258200000004
9,4,False,1,2,13,109.02407800000012
9,4,False,1,2,14,111.09139000000003
9,4,False,1,2,15,111.52269600000014
9,4,False,1,2,16,110.11000000000008
9,4,False,1,2,17,121.8231030000002
9,4,False,1,2,18,111.36734500000014
9,4,False,1,2,19,116.91482800000006
9,4,False,1,2,20,86.04731000000007
9,4,False,1,2,21,87.9181300000001
9,4,False,1,2,22,85.02803700000008
9,4,False,1,2,23,103.78369700000007
10,1,False,1,2,0,2625.1948250000114
10,1,False,1,2,1,83.247743
10,1,False,1,2,2,91.452466
10,1,False,1,2,3,97.19249600000012
10,1,False,1,2,4,88.11592500000003
10,1,False,1,2,5,92.99306500000002
10,1,False,1,2,6,107.89153100000011
10,1,False,1,2,7,108.58640600000021
10,1,False,1,2,8,119.08358200000004
10,1,False,1,2,9,114.86040500000003
10,1,False,1,2,10,105.07694200000009
10,1,False,1,2,11,114.26501600000003
10,1,False,1,2,12,106.71392200000008
10,1,False,1,2,13,119.05692599999999
10,1,False,1,2,14,102.22182500000005
10,1,False,1,2,15,107.07590600000005
10,1,False,1,2,16,118.11166100000011
10,1,False,1,2,17,109.40293200000009
10,1,False,1,2,18,112.88920900000008
10,1,False,1,2,19,114.4835090000001
10,1,False,1,2,20,100.42974800000002
10,1,False,1,2,21,110.19568900000004
10,1,False,1,2,22,105.35897500000019
10,1,False,1,2,23,96.87496000000009
10,3,False,1,2,0,2570.137908999981
10,3,False,1,2,1,95.41937000000003
10,3,False,1,2,2,91.04116800000004
10,3,False,1,2,3,83.20931100000001
10,3,False,1,2,4,96.48272000000009
10,3,False,1,2,5,91.89091400000001
10,3,False,1,2,6,108.94902900000004
10,3,False,1,2,7,98.46139199999998
10,3,False,1,2,8,118.66718600000011
10,3,False,1,2,9,110.48765800000008
10,3,False,1,2,10,101.65357000000007
10,3,False,1,2,11,115.66755500000008
10,3,False,1,2,12,102.75642800000008
10,3,False,1,2,13,105.3292700000001
10,3,False,1,2,14,104.95673700000006
10,3,False,1,2,15,106.37970200000014
10,3,False,1,2,16,104.55584900000007
10,3,False,1,2,17,111.06288800000013
10,3,False,1,2,18,115.98025099999997
10,3,False,1,2,19,107.08635800000006
10,3,False,1,2,20,107.10083400000008
10,3,False,1,2,21,103.10906800000008
